Name,Category,Product Url
High pressure washer-1800PSI,Automobile Equipments,http://machineandtoolsbd.com/product/high-pressure-washer-1800psi/
CAR WASH SHAMPOO MACHINE / FOAM MACHINE,Automobile Equipments,http://machineandtoolsbd.com/product/car-wash-shampoo-machine-foam-machine/
High pressure Car/ Bike washer-2000PSI,Automobile Equipments,http://machineandtoolsbd.com/product/high-pressure-car-bike-washer-2000psi/
Gasoline High Pressure Washer Car Wash 2900 PSI,Machinery,http://machineandtoolsbd.com/product/gasoline-high-pressure-washer-car-wash-2900-psi/
Car Polisher Machine -1600W,Power Tools,http://machineandtoolsbd.com/product/car-polisher-machine-1600w/
140 PSI 6L/Min Water High Pressure Diaphragm Self Priming Pump DC 12V,Automobile Equipments,http://machineandtoolsbd.com/product/140-psi-6lmin-water-high-pressure-diaphragm-self-priming-pump-dc-12v/
SMART SENSOR AS813 Digital Lux Light Meter,Machinery,http://machineandtoolsbd.com/product/smart-sensor-as813-digital-lux-light-meter/
Smart Sensor AR813A Digital LCD Screen Light Lux Meter,Boiler Equipments,http://machineandtoolsbd.com/product/smart-sensor-ar813a-digital-lcd-screen-light-lux-meter/
Electric Car High Pressure Washing Cleaner Machine – 120 Bar Pressure,Automobile Equipments,http://machineandtoolsbd.com/product/electric-car-high-pressure-washing-cleaner-machine-120-bar-pressure/
DC Oil Transfer Pump – 40L/Min,Washing Cleaners,http://machineandtoolsbd.com/product/dc-oil-transfer-pump-40lmin/
Foamer Pressure Sprayer 2 L Car/Bike Snow Foam Hand Held Pump Spray,Garden Tools,http://machineandtoolsbd.com/product/foamer-pressure-sprayer-2-l-carbike-snow-foam-hand-held-pump-spray/
High Pressure Car Washer For Service Center,Automobile Equipments,http://machineandtoolsbd.com/product/high-pressure-car-washer-for-service-center/
12V DC Submersible Water Pump,Washing Cleaners,http://machineandtoolsbd.com/product/12v-dc-submersible-water-pump/
DC 12V Car / Bike High Pressure Water Pump,Automobile Equipments,http://machineandtoolsbd.com/product/dc-12v-car-bike-high-pressure-water-pump/
AC/DC high pressure washer with 35L water tank capacity,Automobile Equipments,http://machineandtoolsbd.com/product/acdc-high-pressure-washer-with-35l-water-tank-capacity/
Car Polisher Bonnet 1/4″X 5″,Automobile Equipments,http://machineandtoolsbd.com/product/car-polisher-bonnet-14x-5/
High Pressure Washer / CT42022,Automobile Equipments,http://machineandtoolsbd.com/product/high-pressure-washer-ct42022/
High Pressure Washer / CT42024,Automobile Equipments,http://machineandtoolsbd.com/product/high-pressure-washer-ct42024/
High Pressure Washer / MHPW1403,Automobile Equipments,http://machineandtoolsbd.com/product/high-pressure-washer-mhpw1403/
Electric Pressure Washer with Induction motor for Car /Bike Washing Machine,Automobile Equipments,http://machineandtoolsbd.com/product/electric-pressure-washer-with-induction-motor-for-car-bike-washing-machine/
Wool Buffing Pad Car Detailing Polishing Pad,Automobile Equipments,http://machineandtoolsbd.com/product/wool-buffing-pad-car-detailing-polishing-pad/
Polishing Buffing Pad for Car polisher,Automobile Equipments,http://machineandtoolsbd.com/product/polishing-buffing-pad-for-car-polisher/
Pressure Washer 1900W- FINDER Brand,Washing Cleaners,http://machineandtoolsbd.com/product/pressure-washer-1900w-finder-brand/
Oil Line Filter – 1″,Safety Equipments,http://machineandtoolsbd.com/product/oil-line-filter-1/
industrial vacuum cleaner with 1200W,Washing Cleaners,http://machineandtoolsbd.com/product/industrial-vacuum-cleaner-with-1500w/
Car Polisher / Buffing Machine Vertical Type,Automobile Equipments,http://machineandtoolsbd.com/product/car-polisher-buffing-machine-vertical-type/
High pressure car cleaning machine,Washing Cleaners,http://machineandtoolsbd.com/product/high-pressure-car-cleaning-machine/
High Pressure Car / Bike Washer Machine,Washing Cleaners,http://machineandtoolsbd.com/product/high-pressure-car-bike-washer-machine/
High Pressure Cleaner Car Washer- VIDO,Washing Cleaners,http://machineandtoolsbd.com/product/high-pressure-cleaner-car-washer-vido/
High Pressure Washer / CT42020,Washing Cleaners,http://machineandtoolsbd.com/product/high-pressure-washer-ct42020/
high pressure car washer for service station,Automobile Equipments,http://machineandtoolsbd.com/product/high-pressure-car-washer-for-service-station/
ALL 606 Anti-rust Lubricant (360ml),Washing Cleaners,http://machineandtoolsbd.com/product/all-606-anti-rust-lubricant-360ml/
High Pressure car washer machine,Washing Cleaners,http://machineandtoolsbd.com/product/high-pressure-car-washer-machine/
High Pressure Mini Portable Vacuum Cleaner For Cleaning And Drying set,Washing Cleaners,http://machineandtoolsbd.com/product/high-pressure-mini-portable-vacuum-cleaner-for-cleaning-and-drying-set/
Portable 3 tons 12v electric car jack and Impact wrench set,Machinery,http://machineandtoolsbd.com/product/portable-3-tons-12v-electric-car-jack-and-impact-wrench-set/
CROSS RIM WRENCH- 14″,Hardwere & Tools,http://machineandtoolsbd.com/product/cross-rim-wrench-14/
L.V.L.P Spray Gun L-927,Pneumatic Components,http://machineandtoolsbd.com/product/l-v-l-p-spray-gun-l-927/
H.V.L.P Traditional Spray Gun H-881P,Pneumatic Components,http://machineandtoolsbd.com/product/h-v-l-p-traditional-spray-gun-h-881p/
High quality spray gun – W71G,Washing Cleaners,http://machineandtoolsbd.com/product/high-quality-spray-gun-w71g/
Car Polisher/Waxer KP600-Black and Decker,Washing Cleaners,http://machineandtoolsbd.com/product/car-polisherwaxer-kp600-black-and-decker/
PORTABLE AIR COMPRESSOR SET,Washing Cleaners,http://machineandtoolsbd.com/product/portable-air-compressor-set/
Oil Transfer Hand Pump,Washing Cleaners,http://machineandtoolsbd.com/product/oil-transfer-hand-pump/
Rechargeable Electric Drinking Water Dispenser Pump 5W,Washing Cleaners,http://machineandtoolsbd.com/product/rechargeable-electric-drinking-water-dispenser-pump-5w/
